C0018923,Hemangiosarcoma
C0036502,Sebaceous Gland Diseases
C1852146,DERMODISTORTIVE URTICARIA
C0473546,Vibratory angioedema
C4302243,Autoimmune pancreatitis type 1
C0002351,Altitude Sickness
C0271678,Diabetic Mononeuropathy
C0393835,Diabetic Asymmetric Polyneuropathy
C0271685,Diabetic Amyotrophy
C0271673,Symmetric Diabetic Proximal Motor Neuropathy
C2347126,Microscopic Polyarteritis
C0267842,Acute cholecystitis without calculus
C0001139,Acinetobacter Infections
C0001957,Alcohol Withdrawal Delirium
C0751711,Anterior Ischemic Optic Neuropathy
C1510449,Chronic iridocyclitis
C0752304,Hypoxic-Ischemic Encephalopathy
C0004669,Bacteroides Infections
C4551691,Urethral stricture
C0206736,"Nevus, Blue"
C0752308,"Hypoxia-Ischemia, Brain"
C0017672,Glossalgia
C0024586,Malignant Carcinoid Syndrome
C0887976,Chlamydophila Infections
C1704231,Metastatic Malignant Neoplasm to the Leptomeninges
C0153467,Malignant tumor of peritoneum
C0281508,Desmoplastic Small Round Cell Tumor
C0392156,Akathisia
C0013386,"Dyskinesia, Drug-Induced"
C1262760,"Hepatitis, Drug-Induced"
C0007868,Cervical dysplasia
C0349458,Cervical intraepithelial neoplasia grade 1
C2959547,Endometrial sarcoma
C0014371,Enterotoxemia
C0085543,Epilepsia Partialis Continua
C0041311,"Tuberculosis, Female Genital"
C0016052,Fibromuscular Dysplasia
C4049867,Giant Cell Lesion of Small Bones
C0268147,"Glycogen storage disease, type IX"
C0000809,"Abortion, Habitual"
C3280674,"PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3"
C1377589,Regressing nevus
C0474824,Halo nevus
C0018835,Heartwater Disease
C0079487,Helicobacter Infections
C2718087,Vitamin K Deficiency Bleeding
C0221773,Hyperamylasemia
C0020450,Hyperemesis Gravidarum
C2973529,Leukocytoclastic vasculitis
C0206737,"Nevus, Intradermal"
C0432474,Klinefelter's syndrome - male with more than two X chromosomes
C0220654,Meningeal Carcinomatosis
C0023501,Leukemoid Reaction
C0024131,Lupus Vulgaris
C0024214,Lymphangiectasis
C0024473,Magnesium Deficiency
C0745136,Hypertensive emergency
C0206619,Lymphatic Vessel Tumors
C3714739,Mesothelial Neoplasms
C0010635,"Cystadenoma, Mucinous"
C0206712,Mucoepidermoid Tumor
C0393911,Pure Autonomic Failure
C3714927,"MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO"
C1955760,Idiopathic normal pressure hydrocephalus (INPH)
C0041322,"Tuberculosis, Ocular"
C0086973,Hemorrhagic Septicemia
C0031149,Peritoneal Neoplasms
C4284595,PATENT DUCTUS ARTERIOSUS 2
C4310753,PATENT DUCTUS ARTERIOSUS 3
C0345326,Congenital phimosis
C0474967,Spindle cell nevus of Reed
C0342442,ACTH-dependent Cushing's syndrome
C0025295,"Meningitis, Pneumococcal"
C0032827,Potassium Deficiency
C0018482,Haemophilus Infections
C0238621,Aminoaciduria
C0002534,Renal Aminoacidurias
C0035439,Rheumatic Heart Disease
C0035585,Rickettsia Infections
C3805742,Sebaceous gland tumors
C0268687,Nutritional steatitis
C0080218,Tethered Cord Syndrome
C0301918,Hypersensitivity reaction mediated by immune complex
C0085395,Ureaplasma Infections
C0042842,Vitamin A Deficiency
C3241937,Nonalcoholic Steatohepatitis
C2711227,Steatohepatitis
C0263912,Rotator cuff syndrome
C0423791,Maculopapular Lesion
C0018781,Noise-induced hearing loss
C0000786,Spontaneous abortion
C0001486,Adenovirus Infections
C0013927,"Embolism, Amniotic Fluid"
C0272118,Warm autoimmune hemolytic anemia
C0003492,Aortic coarctation
C0006131,Branchioma
C1864868,"BURULI ULCER, SUSCEPTIBILITY TO"
C0877445,Candidemia
C1609535,Invasive Candidiasis
C1833541,Caroli disease isolated
C4551631,Cystic liver disease
C0007894,Cestode Infections
C0149520,Acute Cholecystitis
C0012811,Colon diverticulum anatomic structure
C0239138,Hip joint varus deformity - observation
C0011992,Infantile Diarrhea
C4748517,DIARRHEA 9
C0238096,"Embolism, Paradoxical"
C0745744,End Stage Liver Disease
C0014347,Enterobacteriaceae Infections
C1839254,Hypoplasia of the capital femoral epiphysis
C0242362,"Disk, Herniated"
C0014571,"Epiphyses, Slipped"
C0014836,Escherichia coli Infections
C0595993,Roseola rash of secondary syphilis
C0206646,"Fibromatosis, Abdominal"
C0206608,Flavivirus Infections
C0016325,Fluoride Poisoning
C0016427,Follicular cyst
C0752160,"Hemangioma, Cavernous, Central Nervous System"
C0019345,Herpes Labialis
C1136321,HIV-Associated Lipodystrophy Syndrome
C0020102,HTLV-II Infections
C3891815,"Arthritis, Suppurative"
C1692886,"Arthritis, Bacterial"
C1168250,Laryngopharyngeal Reflux
C0086533,"Leiomyoma, Epithelioid"
C0079680,Lentivirus Infections
C1562908,"Leprosy, Paucibacillary"
C0752332,"Lupus Vasculitis, Central Nervous System"
C0024232,Lymphatic Metastasis
C0085090,"Lymphoma, AIDS-Related"
C0024902,Mastodynia
C0025060,Mediastinal Cyst
C0025587,Metatarsalgia
C0026766,Multiple Organ Failure
C1275339,Necrobiotic Xanthogranuloma
C0085396,Neisseriaceae Infections
C0031880,Obesity Hypoventilation Syndrome
C0027066,Myoclonus
C1721017,Paraneoplastic Opsoclonus-Myoclonus Ataxia
C0393626,Opsoclonus-Myoclonus Syndrome
C1096154,Kinsbourne Syndrome
C0085397,Pasteurellaceae Infections
C2936258,Peri-Implantitis
C0031094,Periodontal Pocket
C0521607,Peritoneal Fibrosis
C0032268,Pneumocephalus
C0206615,Pneumovirus Infections
C0271815,Postpartum Thyroiditis
C0032805,Postpericardiotomy Syndrome
C0034074,Pulmonary Infarction
C0206063,Radiation Pneumonitis
C0152169,Renal Colic
C0036117,Salmonella infections
C0221065,Subacute Combined Degeneration
C0038538,Subdural Effusion
C0039254,Teniasis
C0039104,Synovitis and tenosynovitis
C0040137,Thyroid Nodule
C0041307,"Tuberculosis, Bovine"
C0041309,"Tuberculosis, Cutaneous"
C0041351,Tularemia
C0042512,Ventricular Outflow Obstruction
C0348165,Central Nervous System Viral Diseases
C0007684,Central Nervous System Infection
C0009241,Cognition Disorders
C0853897,Diabetic Cardiomyopathies
C0206172,Diabetic Foot
C0856169,Endothelial dysfunction
C0555202,"Malignant lymphoma - lymphocytic, intermediate differentiation"
C4721414,Mantle cell lymphoma
C0007129,Merkel cell carcinoma
C0038395,Streptococcal Infections
C0242966,Systemic Inflammatory Response Syndrome
C0041364,Tumor Lysis Syndrome
C4721579,Secondary malignant neoplasm of colon and/or rectum
C0014356,Enterocolitis
C0876994,Cardiotoxicity
C0563625,Agnosia for Pain
C0238065,Secondary Biliary Cholangitis
C1536085,Geographic Atrophy
C0442840,Cardiac embolism
C0263361,Psoriasis vulgaris
C4748044,POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE
C4540131,PILAROWSKI-BJORNSSON SYNDROME
C0342278,"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans"
C0454651,Specific language impairment
C3888631,Monogenic diabetes
C0151650,Renal fibrosis
C0274869,Toxic effect of heavy metal
C0243001,Abdominal Abscess
C0023472,"Leukemia, Myeloid, Accelerated Phase"
C0406468,Loose Anagen Hair Syndrome
C2364111,Ageusia
C0152244,"Bone Cysts, Aneurysmal"
C1367539,Giant cell angiofibroma
C1367536,Nasopharyngeal Angiofibroma
C0206731,Angiofibroma
C1367534,Cellular angiofibroma
C4721413,Juvenile angiofibroma
C0334428,Fibrous papule of nose
C0238015,Autonomic Dysreflexia
C1527348,Brain Hypoxia
C0006635,Cadmium poisoning
C0007093,Carcinoid Heart Disease
C0243038,"Carcinoma, Lewis Lung"
C0013608,"Edema, Cardiac"
C0267494,Chilaiditi Syndrome
C0263454,Chloracne
C1449861,"Micronuclei, Chromosome-Defective"
C0008733,Chylothorax
C0011406,Dental Pulp Exposure
C0206645,Desmoplastic fibroma
C0085311,Diffuse cutaneous leishmaniasis
C0152074,Ethiopian cutaneous leishmaniasis
C0993582,"Arthritis, Experimental"
C1721053,Female Athlete Triad Syndrome
C0019288,"Hernia, Femoral"
C0349489,Fetal Hypoxia
C0021818,Intervertebral Disk Displacement
C0018946,"Hematoma, Subdural"
C0266284,Lingual Thyroid
C0085642,Livedo Reticularis
C1096155,Macrophage Activation Syndrome
C0677050,Manganese Poisoning
C0005944,Metabolic Bone Disorder
C0546127,"Mercury Poisoning, Nervous System"
C0025427,Mercury Poisoning
C1619692,Nephrogenic Fibrosing Dermopathy
C3888044,Nephrogenic Systemic Fibrosis
C0751850,"Heavy Metal Poisoning, Nervous System"
C0343387,"Enterocolitis, Neutropenic"
C0399496,"Granulomatosis, Orofacial"
C0302356,"incomplete anencephaly, hemicrania"
C0009088,Cluster Headache
C2717981,Poroma
C0546983,Post-Concussion Syndrome
C3160858,Posterior reversible encephalopathy syndrome
C0878576,Posterior Leukoencephalopathy Syndrome
C1292758,Precursor T-cell lymphoblastic lymphoma
C0221269,Pseudolymphoma
C0311220,Cutaneous pseudolymphoma
C0085222,Psoas Abscess
C2350530,Bronchopulmonary Aspergillosis
C2350529,Pulmonary Aspergillosis
C0034184,Pyelocystitis
C0267830,"Liver Abscess, Pyogenic"
C0149771,Rectocele
C2712334,Actual Aspiration
C2827071,Unintentional Material Aspiration
C0035232,Respiratory Paralysis
C0037926,Compression of spinal cord
C0037942,Spinal Osteophytosis
C1458142,Squamous odontogenic tumor
C0038166,Staphylococcal Skin Infections
C0038355,Stomach Diverticulum
C0038833,Superior Vena Cava Syndrome
C2717757,Susac Syndrome
C1720771,Testicular Hydrocele
C0040115,Thymus Hyperplasia
C0042140,Uterine Prolapse
C1701940,"Pneumonia, Ventilator-Associated"
C0019326,Ventral Hernia
C0085232,Zenker Diverticulum
C4225398,"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY"
C0544840,Nodular amyloidosis
C0221207,Urticaria due to cold
C0546394,Nodular cutaneous amyloidosis
C0015403,Eye Infection
C0521585,Gastrointestinal mucositis
C0549410,Palmar-plantar erythrodysesthesia syndrome
C3854373,Morvan syndrome
C0003650,Apudoma
C0236800,Panic disorder with agoraphobia
C0700376,Pulmonary amyloidosis
C0003477,Separation Anxiety Disorder
C0042344,Varicose Ulcer
C1142127,Pneumococcal bacteraemia
C3165521,Primary malignant neoplasm of lateral wall of oropharynx
C0029295,Oropharyngeal Neoplasms
C0279632,Adult Acute Megakaryoblastic Leukemia
C0220615,Adult Acute Myeloblastic Leukemia
C0279650,Childhood Acute Megakaryoblastic Leukemia
C0279646,Childhood Acute Monocytic Leukemia
C4520840,Erythroleukemia (Erythroid/Myeloid)
C0280321,Squamous cell carcinoma of the hypopharynx
C1319317,Squamous cell carcinoma of pharynx
C1711390,Rectosigmoid Adenocarcinoma
C0279697,salivary gland squamous cell carcinoma
C0279546,Adult Undifferentiated Pleomorphic Sarcoma
C1531624,Cardioembolic stroke
C1835922,Aminoacylase 1 deficiency
C2609059,Antisynthetase syndrome
C0268407,Senile cardiac amyloidosis
C1302995,Congenital Fibrosis of the Extraocular Muscles
C3266164,Dropped head syndrome
C3826988,Juvenile polymyositis
C1865384,"Amyotrophy, monomelic"
C0751335,Scapuloperoneal Form of Spinal Muscular Atrophy
C0087031,Juvenile-Onset Still Disease
C1739395,Takotsubo Cardiomyopathy
C3839741,Core binding factor acute myeloid leukemia
C0340100,High altitude pulmonary edema
C3541994,Drug Hypersensitivity Syndrome
C0281899,Prolapsed lumbar disc
C0741260,Adult onset asthma
C0006266,Bronchospasm
C3898105,Oligoarticular Juvenile Idiopathic Arthritis
C2931171,Juvenile pauciarticular chronic arthritis
C0036689,Streptococcal sore throat
C0477680,"Adult osteomalacia, unspecified"
C2936846,Scarring alopecia
C4524092,Chronic rhinosinusitis with nasal polyps
C0339682,Regular astigmatism - corneal
C4025901,Abnormality of body height
C4025900,Abnormality of female internal genitalia
C3806583,Functional abnormality of the bladder
C0262655,Recurrent urinary tract infection
C4020898,Overactive bladder syndrome
C0085606,Urgency of micturition
C0266399,Infantile uterus
C0149632,Abnormality of the bladder
C0080274,Urinary Retention
C0028734,Nocturia
C0042024,Urinary Incontinence
C1855311,Megacystis
C4025899,Abnormality of male internal genitalia
C4025898,Functional abnormality of male internal genitalia
C4025897,Abnormality of male external genitalia
C4021823,"Ambiguous genitalia, male"
C4025896,Abnormality of the penis
C0563449,"Epispadias, male (disorder)"
C0269011,Increased size of penis
C1848869,Absent external genitalia
C4025895,Abnormality of the scrotum
C0431659,Hypoplasia of scrotum
C0341787,Bifid scrotum
C1858539,Shawl scrotum
C1852534,Hypoplastic male external genitalia
C1263023,Macroorchidism
C4551492,Micropenis
C4021822,Abnormality of female external genitalia
C4025893,Abnormality of the clitoris
C4025892,Abnormality of the labia
C0566899,Small labia majora
C1844527,Clitoral hypoplasia
C4025891,"Ambiguous genitalia, female"
C0266362,Ambiguous Genitalia
C1837532,Fused labia minora
C1849295,Hypoplastic labia minora
C0404531,Hypertrophy of labia
C1850325,Labial hypoplasia
C1610065,Urethral atresia
C1840382,Abnormality of the ureter
C0521618,Stenosis of ureter
C0521620,Dilatation of ureter
C0221365,Double ureter
C0266298,Accessory kidney
C0266292,Congenital anomaly of the kidney
C0744356,Abnormality of the genital system
C4021821,Abnormality of the urinary system
C4021820,Abnormality of reproductive system physiology
C1858565,Duplicated collecting system
C0221353,Horseshoe Kidney
C0266305,Fused Kidney
C0238207,Ectopic kidney
C1858395,Tubular atrophy
C0178664,Glomerulosclerosis (disorder)
C0241240,Tall stature
C0032617,Polyuria
C0542518,Enlarged kidney
C1968619,Renal corticomedullary cysts
C1866496,Renal juxtaglomerular cell hypertrophy/hyperplasia
C1408258,Kidney damage
C1567435,Polycystic Kidney - body part
C1839603,Proximal tubulopathy
C1845169,Renal phosphate wasting
C4020895,Genitourinary dysplasia
C0042063,Urogenital Abnormalities
C0266294,Unilateral agenesis of kidney
C0268709,Renal tubular defect
C0221209,Pelvic kidney
C1846347,Renal salt wasting
C1846348,Renal potassium wasting
C0266383,Uterine Anomalies
C0025323,Menorrhagia
C0271578,Female hypogonadism syndrome
C1850327,Bifid uterus
C4021818,Abnormality of the ovary
C4025888,Abnormality of the menstrual cycle
C1856023,Abnormal vagina morphology
C0034895,Rectovaginal Fistula
C0520927,Decreased fertility
C1856006,Transverse vaginal septum
C1136382,Sclerocystic Ovaries
C1321884,Atresia of vagina
C0425913,Uterus absent (finding)
C4021817,Abnormality of head or neck
C0026633,Mouth Abnormalities
C0024433,Macrostomia
C0149745,Oral Ulcer
C0878638,Abnormality of the tongue
C0024421,Macroglossia
C0026034,Microstomia
C1850256,Median cleft lip
C0267048,Glossoptosis
C4025887,Abnormal oral cavity morphology
C0262444,Abnormality of the dentition
C4025886,Severe periodontitis
C4021816,Abnormality of the gingiva
C0025988,Microglossia
C4025885,Abnormality of the uvula
C4021815,Abnormal palate morphology
C0432103,Submucous cleft of hard palate
C4025884,Abnormality of upper lip
C4025883,Abnormality of lower lip
C1839739,Thick lower lip vermilion
C0431564,Lobulated tongue
C4025882,Movement abnormality of the tongue
C1853406,Difficulty in tongue movements
C1857500,Broad alveolar ridges
C1848977,Short upper lip
C1398312,Narrow palate
C4025881,Abnormal oral frenulum morphology
C4021814,Accessory oral frenulum
C4551488,Bifid uvula
C0240379,Open mouth (finding)
C1861544,Lower lip pit
C4025880,Abnormal parotid gland morphology
C1858569,Absence of Stensen duct
C0241438,Tongue nodules
C0426501,Short frenulum of tongue
C0158646,Cleft palate with cleft lip
C4021813,Oral cleft
C1832130,Pursed lips
C1849341,Triangular mouth
C0041105,Trismus
C1857697,Lip telangiectasia
C1846423,Thick upper lip vermilion
C1839276,Broad secondary alveolar ridge
C0240635,Byzanthine arch palate
C1865017,Thin upper lip vermilion
C0042454,Velopharyngeal Insufficiency
C1857013,Gingival hyperkeratosis
C0151934,Hypogeusia
C0017565,Gingival Hemorrhage
C4025878,Tongue telangiectasia
C4025877,Oral cavity telangiectasia
C1853246,Eversion of lower lip
C0578038,Thin lips
C4021812,Abnormality of the head
C4025876,Abnormality of the fontanelles or cranial sutures
C4025875,Abnormality of the anterior fontanelle
C1859455,Small anterior fontanelle
C0456132,Large fontanelle
C4025874,Abnormality of skull size
C1857126,Parietal bossing
C1857484,Brachyturricephaly
C0221356,Brachycephaly
C1854834,Dense calvaria
C4551563,Microcephaly (physical finding)
C1850456,Progressive microcephaly
C2243051,Large head (disorder)
C1866134,Wide anterior fontanel
C4025872,Abnormality of the mastoid
C1860245,Cranial asymmetry
C0221358,Long narrow head
C1853737,Prominent occiput
C0277828,Late fontanel closure
C0266617,Congenital anomaly of face
C4025871,Abnormality of the face
C1858085,Malar flattening
C0234853,Facial grimacing
C1855538,Small face
C1837463,Narrow face
C1836047,Long face
C4025870,Abnormality of the mandible
C3494422,Retrognathia
C1845847,Coarse facial features
C0542571,Facial edema
C1859680,Broad face
C0678230,Congenital Epicanthus
C4025868,Increased facial adipose tissue
C1857045,Abnormality of the philtrum
C1854111,Broad philtrum
C4025867,Abnormality of the forehead
C1837767,Loss of facial adipose tissue
C1866231,Full cheeks
C1842366,Low anterior hairline
C1856361,Doll-like facies
C1845251,Facial hypotonia
C0424448,Mask-like facies
C1849025,Oval face
C4025865,Abnormality of facial musculature
C4280644,Increased size of the mandible
C0399526,Class III malocclusion
C1844505,Pointed chin
C1839546,Microretrognathia
C4021811,Abnormality of the midface
C0239479,Round face
C4025863,Abnormality of the orbital region
C0020534,Orbital separation excessive
C0270871,Facial Myokymia
C1142533,Smooth philtrum
C1837758,Bird-like facies
C1832127,Square face
C1861324,Short philtrum
C1306710,Facial asymmetry
C1835884,Triangular face
C4025862,Abnormality of the maxilla
C0240310,Hypoplasia of the maxilla
C1861443,Facial hemangioma
C3697248,Short lower third of face
C1842060,Prominent supraorbital ridges
C1849089,Broad forehead
C1862474,Decreased facial expression
C0813217,Expressionless face
C1846011,Pugilistic facies
C1857679,Sloping forehead
C1839758,Narrow forehead
C1865014,Long philtrum
C1848473,Whistling appearance
C4024589,Aplasia/Hypoplasia of the mandible
C0025990,Micrognathism
C0239676,High forehead
C1853486,Widow's peak
C1845250,Small forehead
C0266589,Congenital ear anomaly NOS (disorder)
C1846460,Abnormality of the outer ear
C4021810,Abnormal location of ears
C0431478,Posteriorly rotated ear
C0040264,Tinnitus
C4021808,Abnormality of earlobe
C4025860,Hearing abnormality
C0265736,Congenital anomaly of nose
C1857486,"Low-set, posteriorly rotated ears"
C0239234,Low set ears
C1861141,Abnormality of the middle ear
C4021807,Abnormality of the auditory canal
C4025858,Abnormal cochlea morphology
C4025857,Incomplete partition of the cochlea type II
C0857379,Abnormality of the pinna
C1845447,Cupped ears (finding)
C1861326,Stapes ankylosis
C1860816,Preauricular skin tag
C1842680,Small earlobe
C1849364,Absent earlobe
C1837732,Thickened helices
C0266614,Bat ear
C1845272,Prominent antihelix
C1837731,Overfolded helix
C4021806,Prelingual sensorineural hearing impairment
C0152421,Macrotia
C0395837,Stenosis of external auditory canal
C0747085,Recurrent otitis media
C0018777,Conductive hearing loss
C1843156,Progressive sensorineural hearing impairment
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural"
C1855285,Protruding ear
C1866190,Atresia of the external auditory canal
C0240543,Bulbous nose
C1857645,Slender nose
C1837761,Narrow nasal ridge
C4316811,Abnormality of the nasal septum
C1844857,Short nasal septum
C4021805,Abnormality of the nasal bridge
C1854113,Prominent nasal bridge
C4021804,Abnormality of the nasal alae
C1834055,Underdeveloped nasal alae
C1849367,Nasal bridge wide
C4025854,Abnormality of the nasal mucosa
C4025853,Nasal mucosa telangiectasia
C1859717,Depressed nasal tip
C0240538,Convex nasal ridge
C0426421,Wide nose
C4551564,Narrow nasal bridge
C1853482,Pear-shaped nose
C0426415,Large nose
C1839765,Triangular nasal tip
C0584837,Choanal stenosis
C4551517,Flared nostrils abnormality
C0277873,Nasal Flaring
C0426429,Broad nasal tip
C0426428,Bifid nasal tip
C1842876,Depressed nasal ridge
C0003126,Anosmia
C0426422,Narrow nose
C1840077,Anteverted nostril
C0266623,Congenital anomaly of neck
C0221217,Neck webbing
C1859212,Limited neck range of motion
C0240479,Neck muscle weakness
C4025850,Increased adipose tissue around the neck
C0521525,Short neck
C0854242,Gastrointestinal angiodysplasia
C1839816,Long neck
C0152116,Spasmodic torticollis
C0040485,Torticollis
C1836940,Thickened nuchal skin fold
C1853638,Broad neck
C4316870,Abnormality of the eye
C0035300,Abnormal retinal morphology
C3540764,Coloboma of the Retina
C1855670,Abnormal cornea morphology
C1847524,Hyperopic astigmatism
C0423224,Sunken eyes
C4021803,Abnormal eyelid morphology
C4025849,Abnormal foveal morphology
C0423110,Downward slant of palpebral fissure
C0497202,Abnormal ocular motility
C2675111,Abnormal eyelash morphology
C4025847,Abnormal conjunctiva morphology
C1855391,Tortuosity of conjunctival vessels
C4025846,Abnormality of vision
C0042798,Low Vision
C3665347,Visual Impairment
C0423113,Telecanthus
C4551714,Rod-Cone Dystrophy
C1843369,Vertical supranuclear gaze palsy
C0339652,Vertical gaze palsy
C0476397,Electroretinogram abnormal
C1321329,Slowed saccades
C0549651,Abnormality of the lens
C3277059,Congenital Bilateral Cataracts
C0344505,Alacrima
C0235259,Subcapsular cataract
C0239105,Conjunctival telangiectasis
C4025845,Abnormality iris morphology
C1853738,Long eyelashes
C0003119,Anophthalmos
C1839364,Progressive visual loss
C1096610,Corneal crystalline deposits
C4025844,Abnormal chorioretinal morphology
C4048273,Chorioretinal atrophy
C4011556,Abnormal eyebrow morphology
C4282407,Sparse and thin eyebrow
C1303003,Epicanthus inversus
C4025843,Abnormality of refraction
C1846463,Impaired ocular adduction
C0554970,Pallor of optic disc
C0162292,External Ophthalmoplegia
C4085590,Cone-Rod Dystrophies
C0730290,Cone Dystrophy
C1845274,Abnormal conjugate eye movement
C1855685,Undetectable electroretinogram
C0234629,Abnormal color vision
C4025842,Abnormal uvea morphology
C0349702,Corneal Scar
C1843005,Absent eyelashes
C0344511,Atresia of nasolacrimal duct
C0240896,Fundus coloboma
C0234649,Abnormal saccadic eye movement
C0423082,Hypometric saccades
C3665386,Abnormal vision
C0035317,Retinal Hemorrhage
C1853487,Thick eyebrow
C0271196,"Scotoma, Centrocecal"
C1281931,Obstruction of nasolacrimal duct
C4551715,Pigmentary retinopathy
C1833999,Retinal pigmentary degeneration
C0423109,Upward slant of palpebral fissure
C1865244,Shallow orbits
C0029131,Abnormality of the optic nerve
C4025840,Abnormal sclera morphology
C0542514,Blue sclera
C3152182,Anterior chamber anomalies
C0423276,Shallow anterior chamber of eye
C0751401,Ophthalmoparesis
C4025839,Abnormality of the frontal hairline
C4025838,Abnormality of the pharynx
C0424711,Orbital separation diminished
C0152191,"Scotoma, Central"
C1720037,Supranuclear gaze palsy
C1844605,Periorbital wrinkles
C4025836,Abnormal choroid morphology
C0240063,Coloboma of iris
C0085636,Photophobia
C4025835,Abnormal nasolacrimal system morphology
C0154936,Pupillary abnormality
C0026205,Miosis disorder
C1836393,Abnormality of ocular smooth pursuit
C0271215,"Blindness, Legal"
C0271379,Convergence Insufficiency
C0344232,Blurred vision
C1408507,Supranuclear ophthalmoplegia
C0521573,Coloboma of eyelid
C0546967,Posterior embryotoxon
C1858036,Periorbital fullness
C4021801,Lacrimation abnormality
C0235857,Decreased lacrimation
C1846462,Impaired ocular abduction
C0578626,blue iris (physical finding)
C1863872,Coloboma of superior eyelid
C1849340,Long palpebral fissure
C0271390,"Nystagmus, End-Position"
C1836392,Dysmetric saccades
C0522214,Abnormal visual evoked potential
C4025834,Abnormal amplitude of pattern reversal visual evoked potentials
C0012569,Diplopia
C1837826,Coloboma of inferior eyelid
C1843300,Sparse eyelashes
C1839025,Decreased light- and dark-adapted electroretinogram amplitude
C3489733,Oculomotor apraxia
C1142448,Apraxia of eyelid
C0339477,Lipidemia retinalis
C1846465,Palpebral fissure narrowing on adduction
C0431447,Synophrys
C0271385,Horizontal Nystagmus
C1835095,Macrodontia of permanent maxillary central incisor
C0040433,Tooth Crowding
C0266039,Taurodontism
C1849538,Delayed eruption of primary teeth
C4021800,Abnormality of dental enamel
C1854783,Grayish enamel
C0239174,Late tooth eruption
C0235357,Hypoplasia of teeth
C1844813,Widely spaced teeth
C0024636,Malocclusion
C1849950,Agenesis of maxillary lateral incisor
C0240340,Microdontia (disorder)
C1852504,Misalignment of teeth
C0027443,Natal Teeth
C1849540,Delayed eruption of permanent teeth
C0266037,Peg-shaped teeth
C0011998,Diastema of Teeth
C0034543,Radicular Cyst
C1852169,Periapical bone loss
C0040458,Unerupted tooth
C0497552,Congenital neurologic anomalies
C0233514,Abnormal behavior
C0004941,Behavioral Symptoms
C1838320,Hyperorality
C3887611,Restlessness
C0085633,Mood swings
C0085631,Agitation
C0424323,Physical aggression
C0233522,Inappropriate behavior
C1837650,Lack of spontaneous play
C0600104,Obsessive compulsive behavior
C4021799,Restrictive behavior
C0338614,Psychotic episodes
C0338455,Dementia of frontal lobe type
C1837649,Impaired ability to form peer relationships
C0856975,Autistic behavior
C1837653,Inflexible adherence to routines or rituals
C0038271,Stereotyped Behavior
C0424296,Social disinhibition
C0150080,Social Communication Disorder
C0262630,Reduced concentration span
C2700617,Irritation - emotion
C0235153,"Hallucinations, Sensory"
C0018524,Hallucinations
C4020884,Anxiety disease
C1387805,Episodic paroxysmal anxiety
C0085632,Apathy
C1833297,Frontal release signs
C0548883,Low frustration tolerance
C0011253,Delusions
C0424304,Inappropriate laughter
C1839749,Paroxysmal bursts of laughter
C0233715,Speech impairment
C0023012,Language Delay
C0241210,Speech Delay
C0454644,Delayed speech and language development
C0240735,Personality Change
C0424295,Hyperactive behavior
C4021798,Impaired use of nonverbal behaviors
C4025831,Abnormal peripheral nervous system morphology
C1857640,Decreased nerve conduction velocity
C4025830,Peripheral axonal degeneration
C4021797,Abnormality of the thorax
C1860493,Abnormality of the sternum
C2051831,Pectus excavatum
C0158731,Congenital pectus carinatum
C4025829,Abnormality of the breast
C1842083,Abnormality of the ribs
C0426817,Short ribs
C0426790,Narrow thorax
C1848873,Abnormality of the diaphragm
C0262650,Abnormality of the thymus
C0685891,Congenital hypoplasia of thymus
C4025828,Abnormality of the scapula
C0232939,Primary physiologic amenorrhea
C0018965,Hematuria
C4025827,IgA deposition in the glomerulus
C4025826,Abnormality of the urethra
C4021796,Renal steatosis
C1834931,Cystic renal dysplasia
C1969144,Renal cortical cysts
C1848431,Xanthine nephrolithiasis
C0014394,Enuresis
C4025825,Abnormal external genitalia
C0266387,Bicornuate uterus
C0948896,Primary hypogonadism
C4021795,Abnormality of Krebs cycle metabolism
C1445953,Poor eye contact
C4025823,Abnormality of the endocrine system
C4317107,Abnormality of the thyroid gland
C0034012,Delayed Puberty
C3714796,Isolated somatotropin deficiency
C1864903,Hyperinsulinemic hypoglycemia
C4025822,Abnormality of the parathyroid gland
C4025821,Anterior hypopituitarism
C4316995,Primary Hypothyroidism
C4021794,Abnormality of the adrenal glands
C1862265,Increased circulating gonadotropin level
C1846345,Hyperactive renin-angiotensin system
C0235986,Growth hormone excess
C0240783,Increased circulating renin level
C3278636,Neonatal insulin-dependent diabetes mellitus
C0156404,Irregular Menstruation
C1389851,Parathyroid hypoplasia
C4025819,Abnormality of the hypothalamus-pituitary axis
C1846034,Euthyroid multinodular goiter
C0151639,Decreased fertility in females
C0232940,Secondary physiologic amenorrhea
C1857175,Episodic hypertension
C0028949,Oligomenorrhea
C1837792,Insulin-resistant diabetes mellitus at puberty
C1839731,11 pairs of ribs
C0575497,Short sternum
C1846434,Hypoplastic scapulae
C0426818,Thin rib
C1846433,Prominent sternum
C1848654,Broad ribs
C1838659,Deformed rib cage
